NDVI,NDRE,GNDVI
0.3578,0.3289,0.495
0.4997,0.4678,0.5832
0.4062,0.3803,0.3385
0.4688,0.4113,0.5808
0.3206,0.3536,0.2324
0.3864,0.3489,0.5401
0.3786,0.2427,0.3946
0.4074,0.27,0.39
0.5303,0.4954,0.4914
0.3793,0.2934,0.4534
0.3272,0.2994,0.5871
0.4291,0.4241,0.5721
0.4556,0.3685,0.3542
0.3465,0.2969,0.2884
0.3491,0.301,0.2038
0.3734,0.2928,0.4423
0.3796,0.2702,0.3987
0.4129,0.317,0.5018
0.3792,0.2666,0.3654
0.4083,0.3586,0.3961
0.4129,0.362,0.2938
0.396,0.33,0.5375
0.3736,0.2652,0.3513
0.3678,0.3863,0.3239
0.3512,0.2849,0.4925
0.4285,0.514,0.3024
0.4011,0.4043,0.4858
0.457,0.3082,0.3931
0.4171,0.4372,0.4304
0.3263,0.2585,0.1849
0.4493,0.358,0.5222
0.4191,0.3636,0.6484
0.4178,0.4327,0.3162
0.3148,0.3095,0.4859
0.3829,0.3537,0.4133
0.3544,0.2779,0.4516
0.4039,0.4107,0.3147
0.4892,0.391,0.3892
0.3788,0.3931,0.4239
0.4043,0.3806,0.4114
0.3288,0.2661,0.3951
0.4207,0.4849,0.2981
0.4107,0.4152,0.4985
0.4454,0.4288,0.5006
0.4212,0.3843,0.5554
0.3226,0.2332,0.4075
0.3997,0.3616,0.6553
0.406,0.4456,0.635
0.4682,0.3525,0.4795
0.2876,0.2872,0.3491
0.3952,0.4254,0.3436
0.3188,0.3592,0.2376
0.3924,0.3082,0.4019
0.3514,0.289,0.3316
0.4587,0.4179,0.3926
0.4271,0.4071,0.4841
0.4544,0.473,0.3105
0.4123,0.361,0.3204
0.4477,0.4502,0.2662
0.4201,0.2499,0.3088
0.4048,0.351,0.373
