NDVI,NDRE,GNDVI
0.2165,0.3399,0.2805
0.2896,0.4158,0.4138
0.3929,0.4352,0.3719
0.3799,0.477,0.3132
0.2775,0.2575,0.2467
0.3134,0.3784,0.3881
0.1717,0.1,0.1
0.1,0.2409,0.1
0.3145,0.2141,0.3888
0.2481,0.2533,0.2829
0.2387,0.3536,0.2544
0.3575,0.2145,0.2495
0.2678,0.4098,0.1409
0.2339,0.263,0.198
0.198,0.3938,0.2472
0.1987,0.1588,0.1721
0.2352,0.1,0.3219
0.232,0.2711,0.1708
0.1632,0.2811,0.1472
0.1769,0.2998,0.2566
0.2521,0.1756,0.2342
0.2084,0.1,0.2009
0.1277,0.1645,0.107
0.2551,0.343,0.2005
0.2121,0.3057,0.2586
0.2955,0.4788,0.3399
0.2326,0.2371,0.2659
0.2491,0.1023,0.2124
0.2071,0.375,0.2099
0.2014,0.2706,0.3489
0.1595,0.2478,0.1
0.2881,0.3928,0.4457
0.2018,0.3777,0.2295
0.2079,0.2536,0.2123
0.2674,0.4182,0.3536
0.1077,0.236,0.1
0.2752,0.2409,0.3944
0.1783,0.2104,0.3502
0.35,0.4242,0.4345
0.2581,0.2227,0.1012
0.3389,0.4428,0.3992
0.3159,0.3527,0.4502
0.2144,0.2989,0.3556
0.2605,0.4394,0.1588
0.2966,0.3581,0.3834
0.1831,0.2445,0.3493
0.3276,0.3374,0.3308
0.2521,0.2756,0.1481
0.3132,0.3661,0.3825
0.2803,0.4465,0.3725
0.297,0.2616,0.2913
0.2126,0.1907,0.1354
0.3006,0.4539,0.384
0.2409,0.224,0.1932
0.3199,0.3615,0.3537
0.2029,0.193,0.3471
0.2604,0.1274,0.1387
0.2163,0.282,0.3065
0.3611,0.4824,0.3404
0.2923,0.313,0.284
0.1838,0.1,0.2474
0.3306,0.3589,0.2693
0.3631,0.2967,0.2646
0.2844,0.1,0.149
0.2292,0.2638,0.3433
0.1759,0.2837,0.1698
0.1486,0.3292,0.2219
0.2093,0.4327,0.1891
0.1214,0.2562,0.1
0.2235,0.3609,0.2921
0.2806,0.182,0.3147
0.2016,0.4134,0.2024
0.2521,0.4158,0.2884
0.3078,0.2942,0.2348
0.2789,0.3773,0.3719
