NDVI,NDRE,GNDVI
0.9352,0.1955,0.8082
0.7122,0.5861,0.6903
0.7315,0.6501,0.8149
0.5573,0.498,0.5785
0.5059,0.5012,0.5336
0.6849,0.5334,0.7201
0.5067,0.4845,0.4795
0.7145,0.5872,0.7816
0.6931,0.5832,0.7458
0.7422,0.6404,0.7801
0.7325,0.5321,0.6784
0.6261,0.5585,0.6776
0.6481,0.644,0.6957
0.5989,0.4561,0.625
0.7146,0.7331,0.7889
0.627,0.7308,0.1653
0.8132,0.7359,0.8673
0.6535,0.4934,0.6257
0.5952,0.6557,0.5743
0.5034,0.3891,0.5007
0.7011,0.6233,0.7262
0.6385,0.5286,0.7041
0.6331,0.5535,0.6779
0.6834,0.6035,0.711
0.608,0.5168,0.6635
0.7563,0.6142,0.763
0.6855,0.5956,0.7449
0.7415,0.639,0.7877
0.7634,0.6801,0.8225
0.7147,0.6508,0.7843
0.7169,0.6722,0.7508
0.7108,0.6523,0.6667
0.6566,0.5832,0.6631
0.7552,0.6388,0.8242
0.6649,0.4899,0.6755
0.622,0.5569,0.6265
0.685,0.6637,0.7218
0.659,0.5312,0.7357
0.7973,0.6477,0.8555
0.714,0.6996,0.8194
0.8634,0.8387,0.9227
0.6934,0.5546,0.7426
0.7208,0.7797,0.7475
0.5794,0.5386,0.5463
0.5588,0.5525,0.5927
0.6821,0.5746,0.7179
0.6412,0.5785,0.6998
0.6044,0.5591,0.6468
0.6455,0.5124,0.6885
0.6773,0.6565,0.7804
0.6669,0.5812,0.6898
0.6364,0.5291,0.7017
0.6609,0.5092,0.7455
0.5988,0.5628,0.6066
0.6679,0.5997,0.685
0.7241,0.5708,0.7296
0.5176,0.4725,0.4892
0.6949,0.6352,0.8034
0.6289,0.5294,0.7878
0.7027,0.6345,0.7462
0.6447,0.566,0.6637
0.6408,0.5494,0.7423
0.6302,0.4965,0.6857
0.6668,0.5954,0.67
0.6099,0.4135,0.6053
0.7851,0.7644,0.8571
0.7431,0.7157,0.7956
