NDVI,NDRE,GNDVI
0.8426,0.8008,0.7215
0.8439,0.6542,0.656
0.7305,0.7222,0.7352
0.7921,0.8404,0.7027
0.8804,0.8495,0.5595
0.8876,0.6846,0.8248
0.8776,0.825,0.8172
0.8533,0.7144,0.9314
0.823,0.8302,0.7493
0.9034,0.7996,0.9033
0.9132,0.6374,0.8779
0.8183,0.6895,0.6984
0.8784,0.6762,0.8245
0.7674,0.5979,0.6892
0.8655,0.7167,0.7307
0.8564,0.7697,0.7366
0.8624,0.8376,0.7308
0.7178,0.5858,0.6593
0.8122,0.8304,0.74
0.9643,0.653,0.8257
0.7964,0.6135,0.7103
0.801,0.9056,0.5808
0.7761,0.5678,0.629
0.8642,0.8733,0.7612
0.8226,0.7143,0.8829
0.7942,0.6886,0.7757
0.9228,0.8856,0.7562
0.8951,0.8508,0.94
0.7675,0.809,0.7022
0.9142,0.761,0.7363
0.9132,0.7992,0.8199
0.8447,0.7085,0.8468
0.8364,0.6161,0.6702
0.8293,0.739,0.672
0.8184,0.6973,0.8901
0.8905,0.5808,0.8307
0.7403,0.7662,0.6416
0.9127,0.7994,0.8173
0.8239,0.6479,0.7731
0.7912,0.7266,0.707
0.8341,0.6732,0.867
0.7775,0.7033,0.7188
0.7778,0.8221,0.7643
0.7856,0.7291,0.7244
0.8805,0.7117,0.7954
0.7933,0.5918,0.7957
0.7412,0.5845,0.7532
0.7548,0.7473,0.5609
0.8741,0.7499,0.7914
0.7449,0.7146,0.8471
0.8267,0.692,0.717
0.7777,0.59,0.7474
0.7869,0.75,0.8186
0.8312,0.6425,0.6679
0.8607,0.7047,0.7517
0.8792,0.637,0.6716
0.8387,0.6355,0.7713
0.9064,0.8693,0.8512
0.8276,0.8255,0.805
0.8096,0.8163,0.864
0.811,0.8177,0.7444
0.7431,0.622,0.5895
0.9632,0.889,0.7983
0.8463,0.84,0.7084
0.702,0.5392,0.6633
0.7953,0.7159,0.914
0.7715,0.6658,0.7
0.6781,0.4215,0.7363
0.787,0.7228,0.7098
0.8296,0.6508,0.6623
0.8601,0.8502,0.7158
0.7272,0.5692,0.6098
0.8046,0.7364,0.7242
0.8035,0.7138,0.7654
0.8964,0.6,0.7593
0.9101,0.7505,0.8868
0.844,0.7688,0.8512
0.8372,0.8302,0.7405
0.8832,0.7642,0.8742
0.7615,0.7617,0.5419
0.8117,0.7625,0.5513
0.7303,0.7048,0.7374
0.7155,0.6982,0.6244
0.9238,0.7654,1.0
0.9145,0.6869,0.8199
0.8417,0.8882,0.6854
0.8065,0.7817,0.8704
0.8036,0.6959,0.7855
0.7211,0.7026,0.7869
0.9131,0.8245,0.7792
0.8351,0.6409,0.789
0.7586,0.6352,0.6248
0.8217,0.849,0.6088
0.8766,0.7569,0.8545
0.8379,0.7659,0.7256
0.8442,0.8591,0.6879
0.8915,0.7678,0.6967
0.8287,0.6284,0.769
0.8152,0.7227,0.7481
