NDVI,NDRE,GNDVI
0.7977,0.6819,0.9458
0.7199,0.5155,0.7381
0.5319,0.3848,0.4905
0.3216,0.1481,0.287
0.5064,0.376,0.4282
0.8038,0.7651,0.7053
0.7795,0.5511,0.7234
0.4079,0.4182,0.4707
0.428,0.277,0.4369
0.6102,0.5556,0.5025
0.8086,0.8672,0.8154
0.4495,0.4299,0.4433
0.879,0.7273,0.9145
0.227,0.1948,0.2143
0.799,0.7373,0.7198
0.2361,0.2412,0.3339
0.3452,0.3217,0.3977
0.5981,0.4776,0.4947
0.7434,0.6527,0.732
0.8689,0.607,0.744
0.731,0.5776,0.7503
0.1589,0.7033,0.7962
0.45,0.45,0.3813
0.285,0.2447,0.3616
0.5423,0.3882,0.5496
0.4496,0.5297,0.4804
0.7541,0.5948,0.6996
0.864,0.6614,0.8208
0.9487,0.8101,0.9812
0.5639,0.4446,0.5648
0.2668,0.1,0.3919
0.4937,0.324,0.4744
0.5554,0.4616,0.589
0.6899,0.5067,0.7202
0.679,0.4681,0.6645
0.5713,0.3859,0.6237
0.5222,0.4352,0.4837
0.6677,0.5585,0.6874
0.4408,0.4403,0.3835
0.7803,0.5757,0.6847
0.2577,0.2183,0.269
0.6749,0.5265,0.6445
0.8088,0.7218,0.7188
0.2532,0.2288,0.3012
0.3309,0.3154,0.4125
0.336,0.3818,0.3229
0.3672,0.335,0.4199
0.2618,0.3114,0.2391
0.7922,0.5779,0.7489
0.5656,0.3816,0.5479
0.2031,0.2792,0.2585
0.6152,0.5441,0.5919
0.589,0.5447,0.472
0.5559,0.5577,0.6014
0.6766,0.5218,0.6581
0.5283,0.4101,0.4012
0.3719,0.3824,0.4432
0.5284,0.4291,0.5899
0.3415,0.2611,0.2903
0.8297,0.6114,0.7224
0.4633,0.4624,0.5133
0.7191,0.5716,0.7488
0.4028,0.4119,0.4247
0.4715,0.4412,0.4415
0.2802,0.3473,0.2482
0.4526,0.2728,0.4764
0.4926,0.2232,0.4512
0.667,0.6897,0.6119
0.584,0.7325,0.9786
0.838,0.6355,0.8501
0.6929,0.5307,0.7425
0.6133,0.5262,0.5033
0.6687,0.5542,0.6202
0.6405,0.4988,0.6022
0.6068,0.4583,0.5873
0.8176,0.6568,0.7186
0.5902,0.5385,0.6013
0.6967,0.5924,0.7654
0.4684,0.3697,0.4013
0.2137,0.1485,0.236
0.7722,0.2384,0.5133
0.8133,0.6465,0.7664
0.3126,0.3128,0.281
0.2098,0.3645,0.2319
0.9028,0.8087,0.8973
0.25,0.2581,0.1968
0.4652,0.488,0.5098
0.7734,0.7516,0.7309
0.7067,0.5976,0.6468
0.5343,0.3652,0.4449
0.4792,0.4021,0.4382
0.3802,0.3724,0.3495
0.6759,0.5501,0.5921
0.5678,0.4694,0.5761
0.2991,0.3785,0.3125
0.414,0.4144,0.4599
0.2925,0.3012,0.3349
0.8906,0.6778,0.8174
0.8785,0.4818,0.1935
0.4421,0.4093,0.3994
0.3554,0.3571,0.2772
0.3584,0.4251,0.379
0.7177,0.6554,0.6986
0.444,0.3463,0.408
0.5003,0.5619,0.5306
