NDVI,NDRE,GNDVI
0.9517,0.7795,0.9272
0.9166,0.7234,0.7498
0.8866,0.7848,0.7976
0.9215,0.8809,0.9265
0.916,0.827,0.6995
0.867,0.7218,0.7577
0.93,0.841,0.7515
0.8469,0.6756,0.7156
0.9024,0.8436,0.9973
0.9084,0.8021,0.8316
0.8772,0.7854,0.7954
0.9475,0.8741,0.8656
0.8602,0.7845,0.7952
0.9168,0.7981,0.6092
0.9695,0.9243,1.0
0.8768,0.829,0.6173
0.8967,0.7183,0.9509
0.9064,0.8042,0.8462
0.8939,0.7505,0.7938
0.8459,0.6979,0.7116
0.8234,0.7678,0.9869
0.9516,0.8355,0.8766
0.8576,0.7647,0.7521
0.8426,0.7249,0.6863
0.9071,0.8349,0.7194
0.8369,0.7871,0.7409
0.8164,0.8433,0.6284
0.9528,0.8485,0.885
0.7797,0.6293,0.6312
0.9003,0.7851,0.8807
0.8088,0.7703,0.8144
0.8591,0.7346,0.7458
0.9275,0.7607,0.8573
0.8913,0.7646,0.8369
0.9976,0.8711,0.7021
0.9482,0.7993,0.9869
0.9134,0.8329,0.7638
0.9251,0.8287,0.8672
0.9166,0.8644,0.864
0.9475,0.8305,0.5643
0.8741,0.8146,0.6962
0.8564,0.7461,0.8335
0.8474,0.7062,0.7494
0.8507,0.7385,0.8144
0.9423,0.7671,0.8188
0.9294,0.9259,0.9235
0.8937,0.8115,0.787
0.9221,0.7901,0.9379
0.9053,0.7959,0.6857
0.7949,0.5929,0.6937
0.852,0.8385,0.6871
0.9493,0.9212,0.8534
0.9253,0.8381,0.7698
0.9588,0.8789,0.7982
0.781,0.6395,0.6262
0.852,0.7071,0.7003
0.8784,0.7057,0.7638
0.9178,0.818,0.5904
0.9132,0.8749,0.5591
0.8516,0.7473,0.7521
0.8816,0.8108,0.4902
0.9178,0.8749,0.7731
0.8866,0.7167,0.7329
0.8586,0.8651,0.8053
0.8945,0.863,0.709
0.9262,0.8593,0.9553
0.9262,0.8797,0.8831
0.9393,0.8939,0.6563
0.877,0.8039,0.7354
0.8721,0.8563,0.9132
0.8546,0.7465,0.6785
0.8715,0.8074,0.7547
0.7725,0.7613,0.8312
0.9468,0.7175,0.7587
0.8898,0.8227,0.8852
0.9365,0.8791,0.7146
0.9196,0.7423,0.505
0.8522,0.7811,0.8694
0.9359,0.8026,0.849
0.8467,0.7818,0.7931
1.0,0.934,0.7709
0.9085,0.7703,0.6846
