NDVI,NDRE,GNDVI
0.2051,0.3003,0.2438
0.3521,0.4068,0.2453
0.3038,0.4229,0.3301
0.2166,0.2923,0.1132
0.2358,0.2155,0.1707
0.2454,0.2707,0.3108
0.2521,0.4067,0.2287
0.1453,0.2813,0.1919
0.1619,0.1367,0.1832
0.2235,0.2984,0.3646
0.1807,0.1381,0.2145
0.3979,0.4084,0.3064
0.327,0.4473,0.3766
0.1,0.1134,0.1
0.2079,0.2464,0.3061
0.2021,0.1582,0.2852
0.1742,0.2917,0.2218
0.3659,0.3891,0.4214
0.2956,0.2577,0.3952
0.1849,0.2808,0.205
0.3367,0.3502,0.3498
0.2417,0.3315,0.2748
0.2937,0.2279,0.241
0.1772,0.2005,0.1546
0.2136,0.2739,0.2362
0.2993,0.3934,0.3039
0.3685,0.2788,0.3835
0.2275,0.2821,0.2039
0.2042,0.3523,0.1058
0.2569,0.2989,0.386
0.2328,0.2429,0.1364
0.288,0.2622,0.3599
0.2856,0.2621,0.2685
0.3398,0.3773,0.3548
0.2315,0.1,0.2998
0.2496,0.2325,0.2256
0.2779,0.3502,0.1768
0.3299,0.422,0.4104
0.1902,0.149,0.2651
0.1,0.112,0.1405
0.1938,0.2528,0.2807
0.2063,0.3168,0.2516
0.3779,0.3464,0.3668
0.2268,0.2575,0.2267
0.2384,0.3127,0.1
0.4128,0.2942,0.4223
0.1944,0.4083,0.134
0.2935,0.3284,0.3347
0.1524,0.1793,0.1562
0.1947,0.3601,0.1
0.1442,0.2209,0.1675
0.2754,0.2891,0.2481
0.1766,0.2697,0.3104
0.3905,0.3971,0.2217
0.283,0.2507,0.2241
0.3217,0.448,0.2292
0.2294,0.1223,0.3082
0.1782,0.1932,0.2185
0.2272,0.4559,0.3029
0.2814,0.3216,0.2
0.4702,0.2941,0.3726
0.2585,0.4068,0.2744
0.2832,0.284,0.4295
0.2792,0.2034,0.3308
0.2606,0.4008,0.2013
0.3769,0.4924,0.3878
0.2819,0.4542,0.3373
0.2404,0.1834,0.1455
0.3017,0.3123,0.286
0.2917,0.2895,0.2835
0.3281,0.2528,0.4725
0.1502,0.2698,0.1853
0.3115,0.4429,0.4478
0.2875,0.27,0.2345
0.2507,0.3035,0.3069
0.2283,0.2857,0.1331
0.1074,0.289,0.1906
0.2369,0.2784,0.2204
0.166,0.2278,0.1651
0.2293,0.3635,0.3019
0.15,0.2249,0.2426
0.1397,0.1478,0.1931
0.2552,0.182,0.4115
0.3217,0.2794,0.3289
