NDVI,NDRE,GNDVI
0.4535,0.3839,0.4245
0.3473,0.2204,0.4884
0.4675,0.4839,0.4375
0.4183,0.3716,0.518
0.397,0.3194,0.5009
0.3748,0.4314,0.2185
0.4041,0.3747,0.486
0.4464,0.4192,0.5624
0.4287,0.3737,0.557
0.4668,0.3922,0.4503
0.4105,0.3788,0.4298
0.3853,0.204,0.4187
0.4005,0.2658,0.4076
0.4594,0.3372,0.3536
0.4577,0.2913,0.3752
0.3856,0.3693,0.4673
0.4426,0.3588,0.4315
0.3383,0.3613,0.3838
0.3762,0.324,0.5095
0.4361,0.3445,0.4498
0.3863,0.336,0.2931
0.3531,0.365,0.6047
0.5346,0.4603,0.4814
0.3619,0.3797,0.3547
0.3634,0.3736,0.4199
0.4391,0.3582,0.4303
0.4262,0.3508,0.4292
0.3806,0.307,0.3466
0.3137,0.2137,0.4537
0.3811,0.2602,0.5155
0.5173,0.4323,0.6811
0.3687,0.2015,0.5918
0.4249,0.3171,0.2369
0.4122,0.3861,0.4867
0.3519,0.238,0.2651
0.4134,0.4269,0.5552
0.4214,0.3995,0.4644
0.3179,0.3691,0.2867
0.4471,0.496,0.3366
0.3952,0.3831,0.3484
0.4104,0.3301,0.344
0.2879,0.1664,0.4717
0.3872,0.2649,0.4154
0.435,0.4798,0.3422
0.4608,0.3302,0.5022
0.3447,0.2895,0.4191
0.3544,0.3692,0.3725
0.3712,0.2804,0.5225
0.4529,0.4636,0.5141
0.493,0.4305,0.5342
0.4016,0.3625,0.2369
0.334,0.2763,0.3405
0.5113,0.4043,0.5647
0.3906,0.3763,0.4518
0.4333,0.4086,0.4532
0.4562,0.4376,0.5299
0.4484,0.4444,0.5008
0.372,0.3036,0.4828
0.4137,0.3909,0.4708
0.3759,0.3737,0.4811
0.4683,0.4324,0.5408
0.3764,0.3086,0.4051
0.3806,0.3509,0.4133
0.3688,0.2227,0.4159
0.5013,0.4606,0.3765
0.3705,0.2684,0.2549
0.4142,0.3643,0.4903
0.3945,0.3247,0.4819
0.3714,0.3273,0.4074
0.3702,0.2461,0.4447
0.4257,0.409,0.5136
0.4715,0.4605,0.5236
0.3345,0.2428,0.4402
0.3822,0.2665,0.2879
0.4118,0.3157,0.6029
0.4893,0.4681,0.5248
0.34,0.2933,0.4816
0.3097,0.2591,0.4252
0.346,0.2945,0.2891
0.4224,0.3372,0.3771
0.2368,0.2203,0.2632
0.3649,0.3948,0.5203
0.3433,0.2548,0.2941
0.4329,0.4114,0.3277
0.4124,0.3591,0.4816
0.32,0.2754,0.5492
0.4669,0.4797,0.3927
0.4636,0.4573,0.6178
0.3609,0.3159,0.4773
0.361,0.3619,0.3605
0.4227,0.2851,0.3136
0.3842,0.2266,0.3852
0.3463,0.2672,0.3133
0.423,0.321,0.5661
