NDVI,NDRE,GNDVI
0.4141,0.4129,0.3881
0.6077,0.5446,0.4891
0.7911,0.6547,0.7231
0.7321,0.6021,0.6455
0.8011,0.7484,0.8543
0.4045,0.4203,0.4058
0.8575,0.6661,0.8972
0.477,0.3102,0.4727
0.8237,0.7214,0.8811
0.5653,0.5698,0.5658
0.6838,0.629,0.6768
0.8258,0.8133,0.8871
0.6711,0.5583,0.6118
0.8542,0.7404,0.7826
0.7541,0.6344,0.73
0.7046,0.6512,0.8242
0.5306,0.4051,0.4993
0.4997,0.4433,0.5051
0.4964,0.5423,0.5318
0.5328,0.4059,0.6002
0.4347,0.2356,0.4747
0.6335,0.5762,0.6872
0.4468,0.5432,0.4792
0.5662,0.4367,0.5566
0.8112,0.7745,0.7224
0.7953,0.6731,0.7358
0.7511,0.5672,0.7029
0.7599,0.6913,0.7436
0.7552,0.5397,0.7512
0.6299,0.643,0.7053
0.7878,0.6738,0.6511
0.7309,0.4999,0.7
0.603,0.6442,0.6803
0.8772,0.7993,0.7681
0.4502,0.4113,0.409
0.4482,0.4497,0.4656
0.8308,0.5291,0.8378
0.6541,0.5126,0.5626
0.8797,0.917,0.9167
0.4912,0.4319,0.5108
0.5941,0.4623,0.5068
0.4366,0.3898,0.4893
0.47,0.3285,0.5136
0.5732,0.6005,0.5573
0.8069,0.6504,0.7494
0.8094,0.5732,0.7162
0.6013,0.525,0.5627
0.5831,0.568,0.618
0.8247,0.7449,0.7028
0.6395,0.4465,0.5766
0.457,0.3283,0.465
0.5465,0.3192,0.5683
0.5702,0.5376,0.5881
0.6768,0.6079,0.6136
0.5819,0.5368,0.5602
0.4714,0.3761,0.4407
0.4051,0.219,0.4161
0.4295,0.3162,0.4541
0.7587,0.7197,0.7193
0.6115,0.5475,0.5984
0.7123,0.4831,0.6853
0.4629,0.3805,0.3772
0.5915,0.5446,0.6389
0.7392,0.6191,0.7618
0.7885,0.5673,0.6654
0.4764,0.3766,0.5736
0.4049,0.3009,0.4231
0.5336,0.4599,0.5482
0.7123,0.6237,0.6602
0.7072,0.554,0.6868
0.8492,0.7616,0.8386
0.4634,0.5144,0.5474
0.6573,0.777,0.5799
0.525,0.3853,0.5692
0.6317,0.5433,0.5901
0.4484,0.2608,0.5136
0.7951,0.6386,0.6888
0.5178,0.5341,0.5026
0.7927,0.5111,0.6557
0.6308,0.5081,0.5774
0.5222,0.4457,0.4865
0.6329,0.4296,0.6341
0.575,0.5179,0.4805
0.5619,0.4986,0.6298
0.7661,0.6054,0.8264
0.6677,0.6129,0.652
0.6443,0.4902,0.5567
0.4528,0.4232,0.3756
0.8069,0.6819,0.7772
0.6053,0.5327,0.5472
0.8912,0.7336,0.9137
0.7532,0.5433,0.7059
0.4533,0.2938,0.4696
0.6801,0.5238,0.6527
0.8233,0.6569,0.7605
0.7247,0.6333,0.6588
0.8454,0.711,0.7503
