NDVI,NDRE,GNDVI
0.8953,0.8691,0.8067
0.8684,0.6637,0.817
0.6356,0.5491,0.5914
0.8094,0.64,0.6974
0.721,0.5646,0.7745
0.8532,0.71,0.8858
0.5722,0.4899,0.5921
0.6945,0.7141,0.7314
0.8866,0.7104,0.8208
0.4184,0.3458,0.4145
0.8736,0.6061,0.807
0.6343,0.572,0.6261
0.5318,0.4646,0.5669
0.6438,0.5895,0.6185
0.6464,0.5669,0.5603
0.7764,0.5298,0.765
0.5216,0.5692,0.4796
0.601,0.5339,0.6296
0.5468,0.4943,0.6268
0.4987,0.5522,0.5421
0.7455,0.5972,0.7051
0.6796,0.4804,0.661
0.4693,0.3286,0.4569
0.5198,0.444,0.4633
0.5788,0.4866,0.5359
0.7659,0.7618,0.727
0.8509,0.745,0.8017
0.6813,0.4768,0.5956
0.7375,0.577,0.7107
0.4313,0.332,0.4239
0.5797,0.4767,0.4506
0.894,0.7041,0.8463
0.862,0.6416,0.7056
0.6247,0.5427,0.5538
0.7363,0.5917,0.6483
0.6461,0.4615,0.6128
0.7943,0.7836,0.7267
0.44,0.3763,0.418
0.775,0.7948,0.8379
0.595,0.5868,0.5291
0.4571,0.3625,0.5055
0.6939,0.7182,0.6984
0.5332,0.5346,0.5396
0.6998,0.5534,0.7354
0.6908,0.5644,0.6427
0.7509,0.6567,0.7134
0.7534,0.6228,0.6808
0.6998,0.6661,0.5547
0.6484,0.5792,0.6318
0.4577,0.4687,0.5371
0.6376,0.5872,0.5474
0.5115,0.3919,0.4364
0.6656,0.4528,0.6574
0.6628,0.5125,0.6285
0.4172,0.51,0.4889
0.7787,0.7271,0.7208
0.4982,0.4368,0.5649
0.7245,0.7113,0.7187
0.6625,0.5656,0.696
0.4978,0.4361,0.4478
0.5177,0.4714,0.4952
0.8115,0.6566,0.7847
0.712,0.5417,0.7027
0.5438,0.4965,0.4939
0.5868,0.5027,0.5447
0.4719,0.3903,0.5412
0.4411,0.4192,0.4809
0.5237,0.423,0.4503
0.5816,0.5521,0.5783
0.4859,0.3341,0.5375
0.7874,0.5764,0.7177
0.5467,0.3759,0.5594
0.5964,0.5099,0.6072
0.8593,0.6305,0.7361
0.7627,0.7673,0.6929
0.6068,0.6369,0.5619
0.5135,0.4688,0.5025
0.418,0.4277,0.3871
0.8213,0.6338,0.8052
0.6802,0.6589,0.6398
0.7608,0.6225,0.652
0.5213,0.444,0.3739
0.7158,0.5933,0.6616
0.5019,0.3817,0.4995
0.5753,0.5326,0.559
0.8262,0.6596,0.7359
0.8075,0.6637,0.8145
0.7982,0.5156,0.7444
0.8164,0.7157,0.8236
0.7042,0.5903,0.7224
