NDVI,NDRE,GNDVI
0.6979,0.5831,0.6951
0.4821,0.3317,0.5333
0.4324,0.3788,0.4456
0.6799,0.635,0.6286
0.4877,0.5581,0.4477
0.4392,0.2867,0.3962
0.8791,0.7651,0.7948
0.7849,0.6044,0.7935
0.7457,0.6428,0.6694
0.89,0.6897,0.8341
0.6326,0.4919,0.6209
0.6939,0.7024,0.6498
0.7794,0.6638,0.7128
0.5502,0.3809,0.596
0.4438,0.3722,0.4076
0.8811,0.7887,0.8495
0.897,0.7704,0.8293
0.4958,0.4592,0.4573
0.748,0.7668,0.6517
0.4688,0.4725,0.4621
0.4462,0.4837,0.3757
0.7471,0.6598,0.7318
0.6134,0.5843,0.5796
0.4536,0.3437,0.3995
0.8238,0.7478,0.7311
0.5431,0.5746,0.4146
0.6006,0.5279,0.6152
0.4891,0.3919,0.4773
0.6398,0.6381,0.6265
0.6452,0.4937,0.6484
0.5973,0.6701,0.6585
0.554,0.4977,0.4918
0.8546,0.609,0.7852
0.5885,0.5342,0.5978
0.6958,0.6895,0.7069
0.7319,0.699,0.7064
0.4851,0.4204,0.3749
0.7828,0.6725,0.6388
0.5168,0.5224,0.5015
0.7268,0.4796,0.7529
0.69,0.547,0.7366
0.8381,0.6579,0.7157
0.8316,0.7611,0.8183
0.8609,0.6646,0.8442
0.8133,0.6376,0.7517
0.5095,0.4063,0.5057
0.7275,0.5588,0.6872
0.7722,0.7281,0.6832
0.5052,0.4017,0.4636
0.4797,0.4517,0.5722
0.4028,0.3138,0.415
0.5299,0.4539,0.4569
0.7203,0.5977,0.6365
0.6966,0.4601,0.7487
0.6496,0.4702,0.6032
0.8491,0.6294,0.7925
0.6733,0.6486,0.6891
0.692,0.6776,0.6496
0.6592,0.5261,0.6099
0.5406,0.4946,0.5385
0.728,0.5682,0.6644
0.8239,0.7155,0.7646
0.8392,0.6833,0.8817
0.8193,0.6558,0.7426
0.4372,0.4206,0.4197
0.8909,0.773,0.9564
0.5888,0.4503,0.3963
0.6981,0.7125,0.7672
0.8908,0.8796,0.8758
0.7716,0.661,0.7632
0.417,0.4044,0.4362
0.6008,0.6759,0.5612
0.7157,0.6491,0.6382
0.6513,0.4591,0.6279
0.8098,0.687,0.7693
0.6067,0.4933,0.5995
0.4084,0.3239,0.3906
0.615,0.5553,0.6378
0.6962,0.5572,0.7113
0.8404,0.7675,0.7307
0.7618,0.6009,0.6461
0.8012,0.6001,0.7282
0.6397,0.6333,0.5519
0.8743,0.7179,0.8876
0.8256,0.7528,0.7572
0.8833,0.6784,0.8687
0.8631,0.715,0.8173
0.6085,0.5646,0.6352
0.8719,0.6808,0.8104
