NDVI,NDRE,GNDVI
0.7782,0.6423,0.7497
0.8252,0.8287,0.8374
0.82,0.8114,0.7624
0.8039,0.6218,0.5538
0.8224,0.7122,0.8402
0.8772,0.5476,0.8275
0.73,0.6425,0.7199
0.9762,0.7272,0.8734
0.8257,0.7713,0.5973
0.7469,0.7015,0.7313
0.8559,0.7325,0.7599
0.8906,0.7876,0.7485
0.9445,0.7294,0.9923
0.8873,0.6527,0.8513
0.8377,0.9397,0.7796
0.8536,0.8426,0.7065
0.8373,0.7411,0.6827
0.7641,0.6516,0.7396
0.8656,0.9895,0.6262
0.9245,0.9608,0.8799
0.7352,0.623,0.7239
0.7774,0.586,0.8208
0.837,0.733,0.84
0.8482,0.6984,0.8622
0.8024,0.6071,0.6843
0.8552,0.8786,0.6596
0.8536,0.7926,0.7896
0.7814,0.6453,0.7497
0.7367,0.6104,0.7571
0.7838,0.6891,0.8351
0.8707,0.7044,0.697
0.7585,0.6116,0.7633
0.7737,0.8857,0.5281
0.7183,0.5475,0.6825
0.8699,0.5313,0.8454
0.7519,0.7294,0.567
0.827,0.8319,0.8029
0.8127,0.7249,0.6556
0.8587,0.5829,0.7484
0.7431,0.6438,0.7504
0.9131,0.7339,0.8007
0.7835,0.8213,0.6893
0.9474,0.7261,0.8809
0.7228,0.6652,0.7282
0.8211,0.7757,0.7479
0.8891,0.6811,0.9323
0.692,0.5595,0.6114
0.7782,0.727,0.8101
0.8224,0.3964,0.7914
0.8726,0.8907,0.8455
0.843,0.6311,0.6737
0.8277,0.7252,0.8508
0.7741,0.5453,0.7176
0.8841,0.8949,0.9865
0.8062,0.7047,0.7558
0.8486,0.7578,0.7697
0.8721,0.81,0.7501
0.8794,0.8686,0.7979
0.8801,0.6482,0.911
0.9047,0.7516,0.8817
0.8844,0.8895,0.8253
0.7559,0.6231,0.761
0.8803,0.8969,0.7629
0.8183,0.7344,0.7041
0.8601,0.7027,0.7309
0.804,0.7723,0.8124
0.885,0.7484,0.8893
0.7709,0.7632,0.6413
0.8298,0.6745,0.7013
0.7525,0.75,0.6787
0.7313,0.6922,0.5897
0.7942,0.6618,0.7439
0.7713,0.4962,0.8205
