NDVI,NDRE,GNDVI
0.6468,0.6244,0.632
0.672,0.5345,0.7671
0.7788,0.7902,0.8634
0.5893,0.4738,0.6854
0.6304,0.6513,0.6643
0.8004,0.6469,0.8899
0.564,0.4921,0.5826
0.7901,0.5553,0.8705
0.5459,0.5183,0.5766
0.6513,0.4533,0.7559
0.5032,0.465,0.5391
0.585,0.4919,0.5804
0.7037,0.5876,0.7994
0.6957,0.6302,0.7388
0.6485,0.618,0.6595
0.7009,0.6892,0.7126
0.6311,0.4847,0.6271
0.4688,0.4063,0.4349
0.6463,0.5642,0.6617
0.6504,0.6065,0.6911
0.6413,0.598,0.6581
0.6957,0.5559,0.5793
0.6752,0.6623,0.6475
0.5707,0.5311,0.6368
0.5962,0.6343,0.6214
0.4321,0.4147,0.3855
0.6211,0.4267,0.6379
0.6156,0.4931,0.6514
0.5978,0.5186,0.6659
0.7551,0.6035,0.7654
0.6604,0.5255,0.7188
0.5896,0.636,0.6182
0.5945,0.4507,0.6094
0.7189,0.5934,0.7898
0.7155,0.6264,0.7135
0.7739,0.5902,0.8505
0.6901,0.5923,0.679
0.9138,0.6392,0.9365
0.6411,0.5298,0.6578
0.7065,0.5481,0.7374
0.5252,0.4518,0.4497
0.596,0.5235,0.6301
0.7429,0.7253,0.707
0.7363,0.6024,0.7798
0.624,0.6774,0.6662
0.4941,0.458,0.5578
0.6653,0.5256,0.6451
0.6607,0.5867,0.7029
0.7876,0.7542,0.825
0.6502,0.5061,0.66
0.5937,0.6415,0.5804
0.6946,0.6376,0.7326
0.7396,0.573,0.83
0.6747,0.5584,0.6988
0.7267,0.6064,0.8132
0.6916,0.6698,0.7721
