NDVI,NDRE,GNDVI
0.6253,0.6006,0.6282
0.6784,0.5857,0.7037
0.7146,0.5155,0.7506
0.6179,0.5292,0.6519
0.6385,0.4847,0.6814
0.6123,0.5851,0.636
0.6348,0.5557,0.6351
0.6014,0.4757,0.6348
0.5339,0.5258,0.5535
0.6267,0.5788,0.699
0.4844,0.4234,0.5546
0.7271,0.5569,0.7086
0.6645,0.531,0.7224
0.6049,0.4825,0.6678
0.6644,0.6263,0.6438
0.6515,0.4704,0.7073
0.5514,0.4883,0.6148
0.7903,0.6672,0.7918
0.6848,0.6599,0.7096
0.5751,0.5241,0.6113
0.6017,0.5634,0.6546
0.6636,0.5494,0.6572
0.6303,0.4804,0.7081
0.7699,0.6464,0.7272
0.4962,0.4936,0.5739
0.6759,0.6372,0.7317
0.7026,0.5862,0.7128
0.6666,0.5317,0.7345
0.6331,0.493,0.6228
0.5318,0.4672,0.563
0.6402,0.5703,0.6817
0.5965,0.6156,0.6358
0.5941,0.5327,0.5902
0.6466,0.6041,0.6591
0.6711,0.54,0.7097
0.6539,0.5756,0.6575
0.6382,0.5689,0.6809
0.6822,0.5873,0.6917
0.7003,0.6089,0.7753
0.578,0.52,0.6694
0.7058,0.6435,0.7292
0.5654,0.5725,0.6305
0.7159,0.4868,0.7432
0.684,0.664,0.6808
0.6026,0.4294,0.6157
0.6588,0.5955,0.6951
0.609,0.6785,0.5679
0.76,0.6555,0.8231
0.6291,0.564,0.664
0.6073,0.5172,0.6777
0.569,0.5452,0.6218
0.6294,0.5753,0.6657
0.667,0.543,0.6861
0.4975,0.4412,0.5833
0.611,0.4717,0.7283
0.5647,0.4946,0.5793
0.7472,0.6226,0.8262
0.7029,0.6205,0.7098
