NDVI,NDRE,GNDVI
0.966,0.9823,0.8417
0.9026,0.795,0.8786
0.9664,0.8675,0.6855
0.9302,0.8661,0.6921
0.9304,0.7683,0.9674
0.8953,0.7249,0.8312
0.8245,0.7425,0.5347
0.9647,0.8518,0.8073
0.2741,0.5373,0.3955
0.9564,0.4214,0.7042
0.9354,0.8221,0.9606
0.8797,0.8138,0.7202
0.9213,0.9179,0.7824
0.8985,0.9136,0.5973
0.8961,0.8497,0.7876
0.8905,0.6824,0.7938
0.8644,0.8095,0.8458
0.9701,0.9508,0.6089
0.8962,0.8199,0.6849
0.9252,0.7994,0.7751
0.8665,0.7593,0.8441
0.9355,0.9034,0.7647
0.8631,0.7502,0.9899
0.9258,0.7856,0.69
0.8593,0.7407,0.7023
0.9136,0.8251,0.6804
0.9762,0.8675,0.8128
0.9274,0.7541,0.8466
0.8296,0.7252,0.7489
0.9463,0.9465,0.7261
0.9666,0.8793,0.9488
0.9433,0.8795,0.9484
0.8994,0.7384,0.7096
0.8951,0.8389,1.0
0.8546,0.8444,0.6377
0.9345,0.8569,0.8081
0.9423,0.7877,0.8136
0.3111,0.3566,0.1628
0.948,0.8938,0.8336
0.8127,0.6964,0.7068
0.9082,0.8708,0.8278
0.9204,0.8509,0.7942
0.9045,0.7144,0.8632
0.9485,0.8242,0.8742
0.8596,0.7568,0.6526
0.9035,0.8103,0.7524
0.9078,0.8168,0.7038
0.816,0.7739,0.8879
0.9437,0.8906,0.9061
0.8217,0.8203,0.7582
0.8445,0.777,0.7947
0.9604,0.9382,0.8108
0.8351,0.7981,0.7499
0.9175,0.8871,0.7175
0.9699,0.9527,0.7626
0.953,0.8408,0.8788
0.8143,0.7288,0.6123
0.8678,0.676,0.6871
1.0,0.9769,0.8441
0.8542,0.82,0.597
0.9559,0.8676,0.9192
0.9268,0.874,0.8646
0.8682,0.8348,0.8006
0.8633,0.7779,0.7153
0.8697,0.8042,0.8762
0.8211,0.7383,0.7657
0.9041,0.8087,0.8816
0.9466,0.818,0.9172
0.8692,0.7122,0.7107
0.8367,0.6889,0.6472
0.3256,0.2777,0.6225
0.9063,0.7596,0.7904
0.9465,0.8046,0.5402
0.9286,0.7948,0.6929
0.9274,0.8206,0.7297
0.8555,0.8265,0.6868
0.8753,0.681,0.8224
0.8744,0.7894,0.6187
0.8962,0.7604,0.6079
1.0,0.9071,0.6898
0.9544,0.8278,0.8706
0.8484,0.7543,0.6857
0.7521,0.5997,0.6148
0.9466,0.8725,0.987
0.9207,0.8318,0.8383
