NDVI,NDRE,GNDVI
0.743,0.6281,0.7039
0.8466,0.7685,0.5968
0.8367,0.5083,0.768
0.8977,0.9677,0.8257
0.8698,0.7835,0.6947
0.9857,0.9065,0.9095
0.8172,0.5963,0.7452
0.6717,0.6729,0.5257
0.8182,0.8226,0.819
0.7931,0.7202,0.7911
0.828,0.7201,0.7307
0.8479,0.6466,0.7548
0.811,0.6866,0.7975
0.8304,0.6716,0.7398
0.7993,0.7567,0.5749
0.7894,0.6071,0.76
0.7597,0.7263,0.6307
0.7316,0.5648,0.6407
0.8237,0.6916,0.8668
0.8232,0.779,0.739
0.8629,0.6768,0.7836
0.8108,0.7732,0.78
0.7523,0.7195,0.7299
0.8863,0.7376,0.7298
0.7465,0.7761,0.6797
0.7381,0.6614,0.6803
0.8119,0.8191,0.7619
0.8485,0.9157,0.7943
0.7796,0.6606,0.9197
0.735,0.7157,0.5807
0.8186,0.6502,0.8242
0.8751,0.6531,0.8885
0.6831,0.5928,0.6701
0.8415,0.5949,0.7133
0.806,0.6107,0.8683
0.7526,0.7236,0.5143
0.8376,0.6769,0.7073
0.8725,0.8254,0.8854
0.889,0.7967,0.776
0.7733,0.8651,0.835
0.7953,0.7489,0.6051
0.7709,0.7896,0.6163
0.7977,0.7385,0.6855
0.8018,0.7325,0.7649
0.8956,0.8882,0.7935
0.9303,0.8646,0.8015
0.9582,0.8397,0.9781
0.8263,0.7403,0.8734
0.8164,0.7661,0.7108
0.7803,0.6181,0.5765
0.8066,0.6336,0.563
0.7865,0.8324,0.7376
0.8227,0.9035,0.8018
0.8118,0.6159,0.7451
0.8516,0.6718,0.7682
0.8965,0.8866,0.7476
0.7805,0.7387,0.7658
0.8142,0.7783,0.8763
0.7224,0.7315,0.4867
0.8621,0.7225,0.7766
0.8963,0.8052,0.7342
0.9037,0.803,0.6989
0.7771,0.597,0.6201
0.8303,0.7542,0.7861
0.8176,0.837,0.7774
0.815,0.6778,0.8596
0.8402,0.7454,0.7649
0.8475,0.7563,0.6297
0.9572,0.7894,0.8445
0.7918,0.7615,0.6121
0.9282,0.7282,0.7424
0.7523,0.7975,0.7359
0.9502,0.8753,0.8732
0.7516,0.57,0.7358
0.9489,0.9815,0.828
0.7771,0.6996,0.7738
0.7571,0.5956,0.6605
0.6905,0.7283,0.7262
0.8247,0.768,0.7786
0.7298,0.4702,0.6538
0.755,0.6137,0.7087
