NDVI,NDRE,GNDVI
0.4525,0.4118,0.5655
0.4007,0.2573,0.4746
0.3878,0.3873,0.5108
0.3711,0.3746,0.2711
0.4483,0.4795,0.6391
0.3555,0.3487,0.5286
0.5225,0.4518,0.4628
0.2999,0.2192,0.2812
0.367,0.2897,0.4815
0.35,0.3106,0.2389
0.4174,0.3334,0.3687
0.355,0.2811,0.2957
0.4523,0.4052,0.457
0.4373,0.313,0.4117
0.3848,0.2968,0.3408
0.9243,0.9505,0.4473
0.4411,0.4103,0.3948
0.4293,0.4296,0.3315
0.3559,0.3281,0.4534
0.454,0.4101,0.5804
0.4148,0.4052,0.4805
0.4269,0.3937,0.5871
0.914,0.6523,0.659
0.3611,0.2851,0.3279
0.3776,0.4236,0.4585
0.4116,0.5313,0.4953
0.405,0.4013,0.4351
0.4621,0.3655,0.471
0.963,0.7143,0.3888
0.4579,0.3906,0.2044
0.4747,0.4484,0.538
0.4772,0.4285,0.5822
0.3997,0.369,0.3862
0.4992,0.4273,0.4442
0.3589,0.3879,0.3354
0.2673,0.2314,0.2996
0.4144,0.4036,0.5407
0.3658,0.3588,0.3126
0.3666,0.3245,0.4712
0.3332,0.2246,0.3335
0.4738,0.3851,0.2823
0.357,0.3569,0.3656
0.4269,0.3996,0.6128
0.4155,0.3332,0.3723
0.4518,0.4088,0.4425
0.4278,0.3955,0.4503
0.3296,0.3258,0.4005
0.3633,0.418,0.5585
0.3409,0.1927,0.3093
0.4807,0.4931,0.4875
0.3253,0.3036,0.4536
0.354,0.2671,0.3264
0.3273,0.3028,0.3864
0.4642,0.4901,0.5732
0.426,0.4707,0.3962
0.3572,0.2704,0.3827
0.3507,0.2732,0.2803
0.4361,0.3279,0.55
0.4033,0.3746,0.4481
0.3526,0.3314,0.3543
