NDVI,NDRE,GNDVI
0.818,0.7139,0.7891
0.8494,0.7735,0.6937
0.8277,0.7285,0.8006
1.0,0.8998,1.0
0.8238,0.7895,0.8096
0.8344,0.7261,0.6984
0.907,0.7988,0.6539
0.863,0.8267,0.8686
0.9094,0.747,0.7924
0.895,0.7882,0.7867
0.856,0.6871,0.5512
0.8779,0.7652,0.5594
0.9054,0.7974,0.7923
0.9246,0.8155,0.7073
0.8446,0.7406,0.7622
0.937,0.8574,0.9013
0.8983,0.7526,0.7221
0.8453,0.7802,0.765
0.9767,0.8537,0.822
0.9205,0.8663,1.0
0.9392,0.8421,0.7546
0.8819,0.7641,0.6975
0.9699,0.8074,0.7834
0.825,0.7573,0.8439
0.9065,0.8063,0.735
0.8875,0.8719,0.8453
0.895,0.8825,0.7801
0.8415,0.733,0.7453
0.9408,0.7288,0.9686
0.9134,0.8663,0.6087
0.9939,0.8679,0.859
0.8726,0.7679,0.8306
0.8967,0.8668,0.8171
0.8621,0.7932,0.6068
0.9333,0.8824,0.6894
0.8032,0.776,0.7401
0.9326,0.8309,0.5693
0.9093,0.8526,0.7336
0.963,0.872,0.7011
0.9665,0.8968,0.8458
0.9229,0.8384,0.7803
0.9369,0.9113,0.8438
0.896,0.7423,0.6905
0.9335,0.8185,0.83
0.7713,0.6898,0.6903
0.92,0.8341,0.7081
0.9117,0.7564,0.8976
0.9361,0.8053,0.8752
0.8557,0.7719,0.6852
0.8492,0.7371,0.6657
0.9026,0.7266,0.8747
0.9134,0.8038,0.6282
0.8665,0.7192,0.6273
0.9193,0.8574,0.8415
0.9337,0.8551,0.9851
0.8887,0.8448,0.7116
0.8465,0.7723,0.6936
0.9933,0.8403,0.8233
0.9775,0.7224,0.7869
0.8899,0.8581,0.7302
0.9104,0.798,0.7259
0.8151,0.6219,0.7393
0.8766,0.8673,0.833
0.9205,0.8574,0.8102
0.9038,0.8911,0.7665
0.9372,0.8648,0.7453
