NDVI,NDRE,GNDVI
0.6784,0.5885,0.6251
0.686,0.5666,0.7062
0.5625,0.3473,0.5428
0.5893,0.4626,0.5072
0.6223,0.5784,0.5664
0.5019,0.5322,0.3318
0.6425,0.466,0.5964
0.3405,0.218,0.3451
0.478,0.414,0.4629
0.6676,0.4221,0.7432
0.4371,0.3473,0.4609
0.5757,0.3706,0.5862
0.695,0.6858,0.5873
0.5128,0.3867,0.4836
0.734,0.7375,0.6809
0.3573,0.3909,0.3194
0.468,0.3585,0.4206
0.5787,0.4195,0.472
0.5362,0.4461,0.4595
0.5794,0.4878,0.6068
0.4562,0.4183,0.4426
0.6841,0.5266,0.634
0.6732,0.6242,0.649
0.3828,0.3525,0.4406
0.5121,0.4161,0.5013
0.67,0.5195,0.6734
0.8692,0.7198,0.7873
0.7116,0.5463,0.6537
0.6869,0.5874,0.6797
0.6128,0.5285,0.6884
0.7092,0.6199,0.754
0.702,0.7193,0.705
0.551,0.4626,0.5445
0.4595,0.4671,0.5228
0.537,0.4764,0.5637
0.5876,0.4851,0.4559
0.1992,0.175,0.1605
0.5653,0.4794,0.567
0.7226,0.6321,0.6055
0.5892,0.436,0.5272
0.8338,0.6011,0.7621
0.5325,0.5025,0.5071
0.4032,0.4135,0.3866
0.7789,0.7109,0.7321
0.932,0.7951,0.9287
0.466,0.4558,0.4454
0.7663,0.6983,0.7158
0.7862,0.7198,0.6858
0.7183,0.5489,0.7421
0.6307,0.4604,0.5767
0.6205,0.5016,0.5465
0.8063,0.6799,0.7824
0.6412,0.5289,0.5816
0.6522,0.4235,0.6038
0.3717,0.4453,0.3849
0.2893,0.2381,0.2798
0.5206,0.4589,0.6245
0.6221,0.6173,0.5986
0.3725,0.1613,0.4036
0.3373,0.2608,0.2433
0.5496,0.4435,0.4926
0.7826,0.6382,0.6956
0.443,0.3712,0.3899
0.7422,0.7299,0.7336
0.3001,0.3133,0.3579
0.4773,0.4784,0.4863
0.881,0.7457,0.8292
0.7779,0.5599,0.7141
0.7314,0.4742,0.7586
0.4234,0.2601,0.5231
0.5477,0.4943,0.5406
0.3765,0.3309,0.4233
0.8731,0.7213,0.8505
0.4879,0.3943,0.5166
0.3885,0.4794,0.3292
0.5081,0.3791,0.4731
0.925,0.8435,0.9008
0.44,0.3809,0.4954
0.5458,0.4633,0.4912
0.6672,0.6495,0.5422
0.3991,0.4496,0.3723
0.1659,0.1392,0.2331
0.4598,0.453,0.3738
0.494,0.4505,0.4256
0.7991,0.6758,0.7729
0.2807,0.2645,0.2825
0.7204,0.5626,0.7225
0.7257,0.5936,0.6362
