NDVI,NDRE,GNDVI
0.466,0.4128,0.4633
0.6658,0.6164,0.6342
0.5283,0.5843,0.5248
0.6314,0.5789,0.5624
0.4675,0.3774,0.432
0.6754,0.7043,0.7232
0.4772,0.3199,0.562
0.758,0.6225,0.6717
0.7241,0.6769,0.6767
0.8957,0.6991,0.8543
0.5741,0.4871,0.5682
0.8194,0.6428,0.7363
0.7859,0.6617,0.7855
0.6147,0.4751,0.6318
0.4866,0.4246,0.5202
0.5179,0.4216,0.5441
0.6047,0.6087,0.5904
0.5105,0.4656,0.5492
0.6096,0.5716,0.618
0.3515,0.3183,0.2792
0.5636,0.4517,0.4746
0.6193,0.5513,0.6152
0.5038,0.4473,0.5577
0.854,0.5508,0.838
0.4987,0.4313,0.5182
0.3319,0.3392,0.2824
0.5017,0.3813,0.495
0.6804,0.6386,0.713
0.8017,0.7023,0.7899
0.4816,0.3872,0.4783
0.5905,0.5422,0.603
0.3377,0.2711,0.352
0.6822,0.5988,0.7164
0.7372,0.6063,0.7196
0.5293,0.4924,0.5154
0.5,0.5243,0.4376
0.639,0.5135,0.6786
0.7457,0.6946,0.669
0.5007,0.4097,0.5025
0.4535,0.3715,0.4873
0.501,0.4032,0.5804
0.5344,0.34,0.533
0.6101,0.5553,0.6609
0.5093,0.4575,0.5
0.6808,0.5897,0.6283
0.5848,0.6084,0.7064
0.6934,0.7051,0.607
0.4794,0.5046,0.6171
0.6174,0.5098,0.6794
0.635,0.5207,0.5855
0.6513,0.4828,0.6617
0.5842,0.5033,0.4975
0.5432,0.466,0.5594
0.8761,0.7761,0.8521
0.3967,0.2705,0.4383
0.5752,0.4654,0.539
0.6825,0.461,0.6658
0.6837,0.5305,0.6828
0.7425,0.6913,0.6887
0.5236,0.3722,0.582
0.5447,0.5887,0.5376
0.4228,0.4373,0.4362
0.5653,0.5186,0.5084
0.4044,0.4449,0.3194
0.2564,0.2217,0.1985
0.437,0.3267,0.4619
0.4609,0.3912,0.4145
0.5742,0.3705,0.5947
0.6114,0.6047,0.6752
0.698,0.5679,0.7107
0.3912,0.2879,0.4112
0.6556,0.5128,0.6659
0.434,0.377,0.4845
0.6225,0.5388,0.6183
0.5489,0.4598,0.5681
0.4502,0.3786,0.4159
0.7001,0.6326,0.6253
0.3951,0.2671,0.3682
0.3443,0.3181,0.3304
0.4951,0.4037,0.4671
0.7771,0.5174,0.8023
0.5592,0.4027,0.4086
0.5225,0.393,0.5
0.47,0.5224,0.4996
0.4473,0.4185,0.4769
0.7838,0.6816,0.7101
0.8563,0.6881,0.9047
0.7525,0.6012,0.6531
0.5953,0.4253,0.5602
0.4213,0.3426,0.4021
0.4814,0.5111,0.4569
0.3294,0.1978,0.401
0.5469,0.4274,0.5339
0.5501,0.5359,0.5521
0.3847,0.4001,0.4279
0.7026,0.5457,0.6444
0.6951,0.6714,0.6617
0.4184,0.3327,0.4987
0.5156,0.3623,0.5232
0.4737,0.5133,0.411
