NDVI,NDRE,GNDVI
0.935,0.7709,0.7561
0.9343,0.8584,0.8479
0.8428,0.7659,0.7871
0.9871,0.8946,0.7512
0.8906,0.7489,0.7406
0.8765,0.8407,0.7133
0.7615,0.7091,0.7203
0.836,0.6934,0.7223
0.9198,0.9313,0.719
0.9276,0.8243,0.8113
0.9341,0.774,0.8378
0.8584,0.7347,0.9359
0.9549,0.784,0.8253
0.8606,0.8425,0.7534
0.9561,0.9145,0.8621
0.9695,0.9095,0.7337
0.8584,0.8001,0.5783
0.9268,0.8965,0.7675
0.8393,0.7433,0.8448
0.8709,0.805,0.883
0.8191,0.6966,0.5354
0.9109,0.8121,0.8542
0.8968,0.8296,0.5593
0.9255,0.6789,0.8438
0.8551,0.7386,0.7885
0.8251,0.7508,0.5552
0.9134,0.8182,0.8894
0.8414,0.7346,0.9134
0.8653,0.8082,0.7494
0.8236,0.7059,0.7406
0.9513,0.7951,0.9638
0.8038,0.7826,0.6
0.9371,0.8955,0.6959
0.8645,0.7481,0.6712
0.913,0.8183,0.7928
0.8317,0.7908,0.7356
1.0,0.9072,0.7986
0.9406,0.873,0.7784
0.9439,0.8733,0.7567
0.9727,0.8595,0.7817
0.9322,0.8647,0.7257
0.871,0.7356,0.6836
0.9225,0.85,0.5956
0.8485,0.76,0.7216
0.87,0.7649,0.5634
0.8569,0.7089,0.8249
0.8989,0.8156,0.7232
0.9143,0.8248,0.7781
0.9576,0.8199,0.783
0.8472,0.6826,0.7186
0.8497,0.6825,0.8711
0.8741,0.7739,0.6267
0.8843,0.8112,0.6067
0.9305,0.93,0.8133
0.8886,0.7975,0.7225
0.8372,0.6722,0.772
0.8464,0.7514,0.8142
0.9514,0.9189,0.7054
0.9005,0.7763,0.8407
0.8769,0.8452,0.6616
0.9385,0.8534,0.8144
0.9152,0.856,0.667
0.966,0.9623,0.8394
0.8793,0.6995,0.7634
0.9023,0.8569,0.6713
0.8315,0.7436,0.5962
0.8785,0.7432,0.84
0.9963,0.8917,0.8021
0.9309,0.9224,0.9029
0.8586,0.8394,0.6967
0.8396,0.6556,0.868
0.9351,0.8031,0.7097
0.8078,0.7742,0.8628
0.8518,0.7655,0.7637
0.8624,0.7753,0.7937
0.9607,0.7863,0.7221
0.8392,0.718,0.8103
0.8986,0.7408,0.8554
0.9425,0.7656,0.7773
0.8724,0.7223,0.5473
0.9371,0.797,0.6946
0.9397,0.8077,0.6964
0.9178,0.7839,0.8374
0.9149,0.8745,0.744
0.9018,0.7663,0.7367
0.8149,0.8047,0.6638
