NDVI,NDRE,GNDVI
0.2606,0.2027,0.2994
0.8126,0.6438,0.7813
0.2336,0.1024,0.2677
0.4787,0.5054,0.4211
0.5582,0.4925,0.4281
0.4631,0.5085,0.4313
0.6653,0.5539,0.6706
0.8614,0.6236,0.8496
0.2454,0.293,0.233
0.5261,0.4697,0.5257
0.3175,0.2617,0.3025
0.5619,0.5651,0.5402
0.6359,0.4475,0.6782
0.9028,0.829,0.7939
0.2452,0.2713,0.3499
0.6186,0.5435,0.6078
0.928,0.6775,0.9847
0.566,0.5498,0.6438
0.4563,0.4463,0.3361
0.8401,0.7275,0.8121
0.4205,0.361,0.3678
0.7809,0.5814,0.7417
0.6611,0.4837,0.6611
0.6136,0.4689,0.6673
0.6717,0.4605,0.5937
0.6348,0.4326,0.7405
0.7007,0.5635,0.6456
0.8031,0.5852,0.7017
0.492,0.4072,0.5374
0.2933,0.2651,0.3062
0.4226,0.2651,0.5293
0.5031,0.4904,0.4436
0.485,0.4885,0.4854
0.4828,0.2629,0.5377
0.6478,0.6459,0.5837
0.2284,0.2465,0.3042
0.2337,0.2182,0.2649
0.5656,0.5861,0.5
0.8114,0.6928,0.8397
0.5825,0.443,0.5561
0.2067,0.1,0.2796
0.9486,0.7896,0.8676
0.4194,0.3554,0.3433
0.4313,0.2544,0.4048
0.3106,0.2496,0.3096
0.5381,0.5687,0.5348
0.6706,0.6052,0.6737
0.2622,0.1407,0.3692
0.2728,0.265,0.2758
0.86,0.7743,0.9103
0.8848,0.8176,0.8952
0.4423,0.4236,0.4328
0.4372,0.4598,0.4476
0.4804,0.4668,0.4917
0.8538,0.703,0.8668
0.7164,0.6306,0.748
0.6325,0.5226,0.5419
0.3621,0.3452,0.4121
0.5908,0.5559,0.5939
0.5756,0.4867,0.5792
0.2273,0.2276,0.2325
0.3315,0.258,0.3701
0.3752,0.3063,0.4196
0.7836,0.6577,0.7565
0.2919,0.2201,0.3496
0.82,0.7853,0.7529
0.5088,0.479,0.4987
0.631,0.5892,0.6285
0.6393,0.5834,0.6027
0.4313,0.3855,0.4102
0.7578,0.5562,0.6807
0.5101,0.5168,0.5209
0.595,0.6536,0.6746
0.2549,0.2753,0.2946
0.4532,0.3366,0.4386
0.9202,0.8161,0.9424
0.6226,0.4746,0.6011
0.9434,0.7602,0.9355
0.8058,0.5114,0.7993
0.7314,0.7156,0.6282
0.4906,0.4444,0.4863
0.6977,0.6322,0.7791
0.7819,0.7164,0.7222
0.9223,0.8097,0.9581
0.4928,0.4924,0.534
0.2113,0.2888,0.2019
0.596,0.5062,0.5836
0.3457,0.1872,0.3001
0.662,0.5038,0.6865
0.4181,0.4062,0.3674
0.2299,0.1367,0.2667
0.2024,0.1816,0.3126
0.9335,0.9605,0.8615
0.4035,0.424,0.4235
0.5345,0.3175,0.452
0.4868,0.5823,0.4849
0.7225,0.7081,0.649
0.249,0.2706,0.2763
0.298,0.2738,0.2824
0.8747,0.6407,0.7902
0.4219,0.3398,0.4163
0.2906,0.1194,0.1697
0.2705,0.3084,0.2311
0.7765,0.6697,0.8679
0.5894,0.4512,0.5657
0.6707,0.6407,0.6282
0.3956,0.3676,0.4176
0.6776,0.6904,0.7113
0.6886,0.5536,0.751
0.3154,0.3762,0.3227
0.699,0.6089,0.6686
0.8247,0.642,0.8138
