NDVI,NDRE,GNDVI
0.88,0.9652,0.7033
0.872,0.8527,0.6968
0.7652,0.6549,0.7867
0.7627,0.465,0.6465
0.8455,0.7284,0.6889
0.886,0.6647,0.8962
0.8493,0.5175,0.707
0.7574,0.7262,0.6923
0.7965,0.85,0.6837
0.9037,0.7683,0.8787
0.9015,0.802,0.8344
0.8515,0.8729,0.8467
0.8356,0.7445,0.6643
0.7566,0.6066,0.7124
0.8782,0.5358,0.8038
0.8902,0.8492,0.7468
0.7142,0.6774,0.5742
0.7899,0.7852,0.7145
0.8489,0.4919,0.7483
0.7216,0.8488,0.7577
0.8932,0.6909,0.8753
0.7435,0.7669,0.6271
0.7514,0.4736,0.6681
0.8077,0.6283,0.7803
0.7853,0.6345,0.77
0.8697,0.6501,0.8844
0.789,0.6095,0.7155
0.902,0.9385,0.8295
0.7114,0.5996,0.5123
0.8784,0.9717,0.7078
0.7649,0.7792,0.7731
0.9321,0.5986,0.7549
0.8076,0.6715,0.6024
0.8264,0.6811,0.8139
0.7782,0.589,0.6799
0.8571,0.8648,0.715
0.8232,0.8036,0.6314
0.698,0.8392,0.5256
0.8417,0.6854,0.7297
0.8567,0.7864,0.7669
0.7872,0.6552,0.8186
0.822,0.6767,0.738
0.7202,0.7212,0.6365
0.8024,0.9219,0.7089
0.7045,0.7269,0.4687
0.2434,0.5888,0.4631
0.7937,0.6894,0.7754
0.7381,0.7384,0.6844
0.7916,0.8115,0.7849
0.8667,0.6642,0.8733
0.8262,0.7238,0.6207
0.8891,0.7344,0.7537
0.8535,0.6769,0.8558
0.9321,0.8974,0.8507
0.9219,0.7679,0.8217
0.7971,0.7453,0.8103
0.8318,0.7721,0.6937
0.8712,0.7264,0.732
0.7966,0.5519,0.6633
0.8507,0.703,0.6667
0.8352,0.7792,0.7422
0.914,0.8157,0.8413
0.9651,0.6287,0.7868
0.9332,0.881,0.8346
0.8615,0.6908,0.7345
0.8041,0.7603,0.7273
0.844,0.8145,0.8829
0.8002,0.7471,0.737
0.9242,0.9813,0.844
0.7927,0.7945,0.8869
0.9613,0.5685,0.8076
0.8374,0.6929,0.8108
0.7814,0.6785,0.6717
0.1656,0.7369,0.5729
0.8511,0.7753,0.7011
0.8707,0.6396,0.7633
0.796,0.8352,0.6817
0.8962,0.7763,0.7283
0.7935,0.8305,0.5544
